,Datetime,Region,Technology,Tech category,Value
0,2020,reg1,Oil_supply,Supply,0.0
1,2021,reg1,Oil_supply,Supply,0.0
2,2022,reg1,Oil_supply,Supply,0.0
3,2023,reg1,Oil_supply,Supply,0.0
4,2024,reg1,Oil_supply,Supply,0.0
5,2025,reg1,Oil_supply,Supply,0.0
6,2026,reg1,Oil_supply,Supply,0.0
7,2027,reg1,Oil_supply,Supply,0.0
8,2028,reg1,Oil_supply,Supply,0.0
9,2029,reg1,Oil_supply,Supply,0.0
10,2030,reg1,Oil_supply,Supply,0.0
11,2031,reg1,Oil_supply,Supply,0.0
12,2032,reg1,Oil_supply,Supply,0.0
13,2033,reg1,Oil_supply,Supply,0.0
14,2034,reg1,Oil_supply,Supply,0.0
15,2035,reg1,Oil_supply,Supply,0.0
16,2036,reg1,Oil_supply,Supply,0.0
17,2037,reg1,Oil_supply,Supply,0.0
18,2038,reg1,Oil_supply,Supply,0.0
19,2039,reg1,Oil_supply,Supply,0.0
20,2040,reg1,Oil_supply,Supply,0.0
21,2041,reg1,Oil_supply,Supply,0.0
22,2042,reg1,Oil_supply,Supply,0.0
23,2043,reg1,Oil_supply,Supply,0.0
24,2044,reg1,Oil_supply,Supply,0.0
25,2045,reg1,Oil_supply,Supply,0.0
26,2046,reg1,Oil_supply,Supply,0.0
27,2047,reg1,Oil_supply,Supply,0.0
28,2048,reg1,Oil_supply,Supply,0.0
29,2049,reg1,Oil_supply,Supply,0.0
30,2050,reg1,Oil_supply,Supply,0.0
31,2020,reg1,NG_supply,Supply,0.0
32,2021,reg1,NG_supply,Supply,0.0
33,2022,reg1,NG_supply,Supply,0.0
34,2023,reg1,NG_supply,Supply,0.0
35,2024,reg1,NG_supply,Supply,0.0
36,2025,reg1,NG_supply,Supply,0.0
37,2026,reg1,NG_supply,Supply,0.0
38,2027,reg1,NG_supply,Supply,0.0
39,2028,reg1,NG_supply,Supply,0.0
40,2029,reg1,NG_supply,Supply,0.0
41,2030,reg1,NG_supply,Supply,0.0
42,2031,reg1,NG_supply,Supply,0.0
43,2032,reg1,NG_supply,Supply,0.0
44,2033,reg1,NG_supply,Supply,0.0
45,2034,reg1,NG_supply,Supply,0.0
46,2035,reg1,NG_supply,Supply,0.0
47,2036,reg1,NG_supply,Supply,0.0
48,2037,reg1,NG_supply,Supply,0.0
49,2038,reg1,NG_supply,Supply,0.0
50,2039,reg1,NG_supply,Supply,0.0
51,2040,reg1,NG_supply,Supply,0.0
52,2041,reg1,NG_supply,Supply,0.0
53,2042,reg1,NG_supply,Supply,0.0
54,2043,reg1,NG_supply,Supply,0.0
55,2044,reg1,NG_supply,Supply,0.0
56,2045,reg1,NG_supply,Supply,0.0
57,2046,reg1,NG_supply,Supply,0.0
58,2047,reg1,NG_supply,Supply,0.0
59,2048,reg1,NG_supply,Supply,0.0
60,2049,reg1,NG_supply,Supply,0.0
61,2050,reg1,NG_supply,Supply,0.0
62,2020,reg1,SFF_supply,Supply,0.0
63,2021,reg1,SFF_supply,Supply,0.0
64,2022,reg1,SFF_supply,Supply,0.0
65,2023,reg1,SFF_supply,Supply,0.0
66,2024,reg1,SFF_supply,Supply,0.0
67,2025,reg1,SFF_supply,Supply,0.0
68,2026,reg1,SFF_supply,Supply,0.0
69,2027,reg1,SFF_supply,Supply,0.0
70,2028,reg1,SFF_supply,Supply,0.0
71,2029,reg1,SFF_supply,Supply,0.0
72,2030,reg1,SFF_supply,Supply,0.0
73,2031,reg1,SFF_supply,Supply,0.0
74,2032,reg1,SFF_supply,Supply,0.0
75,2033,reg1,SFF_supply,Supply,0.0
76,2034,reg1,SFF_supply,Supply,0.0
77,2035,reg1,SFF_supply,Supply,0.0
78,2036,reg1,SFF_supply,Supply,0.0
79,2037,reg1,SFF_supply,Supply,0.0
80,2038,reg1,SFF_supply,Supply,0.0
81,2039,reg1,SFF_supply,Supply,0.0
82,2040,reg1,SFF_supply,Supply,0.0
83,2041,reg1,SFF_supply,Supply,0.0
84,2042,reg1,SFF_supply,Supply,0.0
85,2043,reg1,SFF_supply,Supply,0.0
86,2044,reg1,SFF_supply,Supply,0.0
87,2045,reg1,SFF_supply,Supply,0.0
88,2046,reg1,SFF_supply,Supply,0.0
89,2047,reg1,SFF_supply,Supply,0.0
90,2048,reg1,SFF_supply,Supply,0.0
91,2049,reg1,SFF_supply,Supply,0.0
92,2050,reg1,SFF_supply,Supply,0.0
93,2020,reg1,OP_supply,Supply,0.0
94,2021,reg1,OP_supply,Supply,0.0
95,2022,reg1,OP_supply,Supply,0.0
96,2023,reg1,OP_supply,Supply,0.0
97,2024,reg1,OP_supply,Supply,0.0
98,2025,reg1,OP_supply,Supply,0.0
99,2026,reg1,OP_supply,Supply,0.0
100,2027,reg1,OP_supply,Supply,0.0
101,2028,reg1,OP_supply,Supply,0.0
102,2029,reg1,OP_supply,Supply,0.0
103,2030,reg1,OP_supply,Supply,0.0
104,2031,reg1,OP_supply,Supply,0.0
105,2032,reg1,OP_supply,Supply,0.0
106,2033,reg1,OP_supply,Supply,0.0
107,2034,reg1,OP_supply,Supply,0.0
108,2035,reg1,OP_supply,Supply,0.0
109,2036,reg1,OP_supply,Supply,0.0
110,2037,reg1,OP_supply,Supply,0.0
111,2038,reg1,OP_supply,Supply,0.0
112,2039,reg1,OP_supply,Supply,0.0
113,2040,reg1,OP_supply,Supply,0.0
114,2041,reg1,OP_supply,Supply,0.0
115,2042,reg1,OP_supply,Supply,0.0
116,2043,reg1,OP_supply,Supply,0.0
117,2044,reg1,OP_supply,Supply,0.0
118,2045,reg1,OP_supply,Supply,0.0
119,2046,reg1,OP_supply,Supply,0.0
120,2047,reg1,OP_supply,Supply,0.0
121,2048,reg1,OP_supply,Supply,0.0
122,2049,reg1,OP_supply,Supply,0.0
123,2050,reg1,OP_supply,Supply,0.0
124,2020,reg1,BW_supply,Supply,0.0
125,2021,reg1,BW_supply,Supply,0.0
126,2022,reg1,BW_supply,Supply,0.0
127,2023,reg1,BW_supply,Supply,0.0
128,2024,reg1,BW_supply,Supply,0.0
129,2025,reg1,BW_supply,Supply,0.0
130,2026,reg1,BW_supply,Supply,0.0
131,2027,reg1,BW_supply,Supply,0.0
132,2028,reg1,BW_supply,Supply,0.0
133,2029,reg1,BW_supply,Supply,0.0
134,2030,reg1,BW_supply,Supply,0.0
135,2031,reg1,BW_supply,Supply,0.0
136,2032,reg1,BW_supply,Supply,0.0
137,2033,reg1,BW_supply,Supply,0.0
138,2034,reg1,BW_supply,Supply,0.0
139,2035,reg1,BW_supply,Supply,0.0
140,2036,reg1,BW_supply,Supply,0.0
141,2037,reg1,BW_supply,Supply,0.0
142,2038,reg1,BW_supply,Supply,0.0
143,2039,reg1,BW_supply,Supply,0.0
144,2040,reg1,BW_supply,Supply,0.0
145,2041,reg1,BW_supply,Supply,0.0
146,2042,reg1,BW_supply,Supply,0.0
147,2043,reg1,BW_supply,Supply,0.0
148,2044,reg1,BW_supply,Supply,0.0
149,2045,reg1,BW_supply,Supply,0.0
150,2046,reg1,BW_supply,Supply,0.0
151,2047,reg1,BW_supply,Supply,0.0
152,2048,reg1,BW_supply,Supply,0.0
153,2049,reg1,BW_supply,Supply,0.0
154,2050,reg1,BW_supply,Supply,0.0
155,2020,reg1,Bio_oil_supply,Supply,0.0
156,2021,reg1,Bio_oil_supply,Supply,0.0
157,2022,reg1,Bio_oil_supply,Supply,0.0
158,2023,reg1,Bio_oil_supply,Supply,0.0
159,2024,reg1,Bio_oil_supply,Supply,0.0
